duration,frequency
0,0.001
5,0.075
10,0.188
15,0.108
20,0.118
25,0.131
30,0.115
35,0.103
40,0.072
45,0.041
50,0.028
55,0.008
60,0.004
65,0.008
70,0
75,0
80,0
85,0
90,0
95,0
