duration,frequency
0,0.003
5,0.121
10,0.389
15,0.153
20,0.149
25,0.097
30,0.037
35,0.027
40,0.014
45,0.007
50,0.002
55,0.001
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
