duration,frequency
0,0.001
5,0.064
10,0.244
15,0.245
20,0.227
25,0.136
30,0.056
35,0.021
40,0.004
45,0.001
50,0.001
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
