duration,frequency
0,0.002
5,0.098
10,0.441
15,0.271
20,0.138
25,0.039
30,0.008
35,0.003
40,0
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
