max_FTE_def,frequency
0,0.089
2,0.16
4,0.169
6,0.155
8,0.118
10,0.099
12,0.066
14,0.063
16,0.029
18,0.02
20,0.016
22,0.006
24,0.005
26,0.002
28,0.003
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
