duration,frequency
0,0.002
5,0.079
10,0.258
15,0.25
20,0.238
25,0.102
30,0.043
35,0.022
40,0.003
45,0.002
50,0.001
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
