duration,frequency
0,0
5,0.051
10,0.194
15,0.23
20,0.234
25,0.155
30,0.082
35,0.035
40,0.015
45,0.004
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
