duration,frequency
0,0
5,0.084
10,0.197
15,0.106
20,0.146
25,0.133
30,0.126
35,0.086
40,0.06
45,0.036
50,0.013
55,0.009
60,0.001
65,0.001
70,0
75,0
80,0.001
85,0
90,0.001
95,0
