duration,frequency
0,0.003
5,0.122
10,0.36
15,0.261
20,0.167
25,0.063
30,0.019
35,0.005
40,0
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
