max_FTE_def,frequency
0,0.086
2,0.176
4,0.164
6,0.138
8,0.124
10,0.093
12,0.076
14,0.065
16,0.027
18,0.023
20,0.012
22,0.007
24,0.003
26,0.003
28,0.003
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
