max_FTE_def,frequency
0,0.229
2,0.305
4,0.194
6,0.121
8,0.059
10,0.046
12,0.013
14,0.013
16,0.012
18,0.003
20,0.002
22,0.002
24,0.001
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
