max_FTE_def,frequency
0,0.173
2,0.276
4,0.186
6,0.133
8,0.079
10,0.06
12,0.033
14,0.023
16,0.013
18,0.009
20,0.007
22,0.004
24,0.004
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
