max_FTE_def,frequency
0,0.123
2,0.22
4,0.184
6,0.161
8,0.11
10,0.065
12,0.051
14,0.027
16,0.025
18,0.02
20,0.008
22,0.004
24,0.002
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
