max_FTE_def,frequency
0,0.126
2,0.212
4,0.195
6,0.149
8,0.11
10,0.073
12,0.048
14,0.031
16,0.023
18,0.022
20,0.004
22,0.003
24,0.003
26,0.001
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
