duration,frequency
0,0
5,0.096
10,0.315
15,0.271
20,0.204
25,0.084
30,0.023
35,0.006
40,0.001
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
