I_cum,frequency
0,0.011
5,0.067
10,0.062
15,0.047
20,0.041
25,0.028
30,0.025
35,0.018
40,0.029
45,0.036
50,0.026
55,0.029
60,0.042
65,0.039
70,0.053
75,0.061
80,0.072
85,0.09
90,0.099
95,0.064
100,0.046
105,0.009
110,0.004
115,0.001
120,0.001
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,0
200,0
205,0
