duration,frequency
0,0.001
5,0.085
10,0.307
15,0.245
20,0.223
25,0.095
30,0.032
35,0.007
40,0.004
45,0.001
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
