max_FTE_def,frequency
0,0.27
2,0.3
4,0.196
6,0.113
8,0.053
10,0.033
12,0.015
14,0.009
16,0.006
18,0.001
20,0.002
22,0.002
24,0
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
