max_FTE_def,frequency
0,0.475
2,0.315
4,0.127
6,0.047
8,0.023
10,0.007
12,0.005
14,0.001
16,0
18,0
20,0
22,0
24,0
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
