I_cum,frequency
0,0.008
5,0.069
10,0.11
15,0.113
20,0.079
25,0.076
30,0.091
35,0.086
40,0.069
45,0.05
50,0.044
55,0.041
60,0.04
65,0.035
70,0.024
75,0.027
80,0.014
85,0.009
90,0.005
95,0.005
100,0.002
105,0
110,0.002
115,0
120,0.001
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,0
200,0
205,0
