duration,frequency
0,0.002
5,0.229
10,0.538
15,0.163
20,0.051
25,0.014
30,0.002
35,0.001
40,0
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
