max_FTE_def,frequency
0,0.191
2,0.245
4,0.193
6,0.127
8,0.09
10,0.055
12,0.045
14,0.02
16,0.01
18,0.009
20,0.008
22,0.004
24,0.003
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
