I_cum,frequency
0,0.014
5,0.086
10,0.096
15,0.086
20,0.089
25,0.063
30,0.06
35,0.06
40,0.057
45,0.049
50,0.051
55,0.047
60,0.057
65,0.049
70,0.03
75,0.03
80,0.026
85,0.016
90,0.014
95,0.008
100,0.007
105,0.002
110,0.002
115,0.001
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,0
200,0
205,0
