duration,frequency
0,0.001
5,0.058
10,0.146
15,0.071
20,0.109
25,0.176
30,0.163
35,0.122
40,0.068
45,0.041
50,0.025
55,0.015
60,0.002
65,0.002
70,0.001
75,0
80,0
85,0
90,0
95,0
