max_FTE_def,frequency
0,0.238
2,0.292
4,0.207
6,0.106
8,0.07
10,0.038
12,0.021
14,0.011
16,0.008
18,0.005
20,0.002
22,0.001
24,0.001
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
