duration,frequency
0,0
5,0.041
10,0.114
15,0.07
20,0.111
25,0.186
30,0.162
35,0.131
40,0.073
45,0.054
50,0.024
55,0.014
60,0.008
65,0.007
70,0.004
75,0
80,0.001
85,0
90,0
95,0
