I_cum,frequency
0,0.005
5,0.054
10,0.085
15,0.076
20,0.09
25,0.053
30,0.062
35,0.057
40,0.071
45,0.051
50,0.041
55,0.048
60,0.037
65,0.051
70,0.046
75,0.037
80,0.033
85,0.028
90,0.024
95,0.016
100,0.011
105,0.009
110,0.004
115,0.005
120,0.004
125,0.001
130,0.001
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,0
200,0
205,0
