duration,frequency
0,0
5,0.107
10,0.275
15,0.145
20,0.173
25,0.129
30,0.082
35,0.048
40,0.024
45,0.01
50,0.004
55,0.002
60,0
65,0.001
70,0
75,0
80,0
85,0
90,0
95,0
