duration,frequency
0,0.002
5,0.114
10,0.391
15,0.257
20,0.158
25,0.053
30,0.018
35,0.004
40,0.002
45,0.001
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
