duration,frequency
0,0.004
5,0.128
10,0.512
15,0.247
20,0.076
25,0.028
30,0.004
35,0.001
40,0
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
