I_cum,frequency
0,0.029
5,0.2
10,0.185
15,0.146
20,0.104
25,0.098
30,0.053
35,0.053
40,0.05
45,0.032
50,0.026
55,0.01
60,0.006
65,0.003
70,0.004
75,0.001
80,0
85,0
90,0
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,0
200,0
205,0
