duration,frequency
0,0
5,0.063
10,0.211
15,0.108
20,0.146
25,0.14
30,0.137
35,0.077
40,0.048
45,0.032
50,0.012
55,0.015
60,0.004
65,0.003
70,0.002
75,0.002
80,0
85,0
90,0
95,0
