I_cum,frequency
0,0.7343
5,0.032
10,0.0098
15,0.0055
20,0.0024
25,0.0016
30,0.001
35,0.0013
40,0.0006
45,0.0003
50,0.0001
55,0.0002
60,0.0002
65,0.0003
70,0.0002
75,0.0001
80,0.0001
85,0.0004
90,0.0002
95,0.0005
100,0.0005
105,0.0005
110,0.0009
115,0.0007
120,0.0012
125,0.0021
130,0.002
135,0.0023
140,0.0044
145,0.0076
150,0.0093
155,0.0132
160,0.0151
165,0.0218
170,0.0304
175,0.0296
180,0.0326
185,0.0204
190,0.011
195,0.0032
200,0.0001
205,0
