run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,I_tot_staff,I_tot_res,index_case_id,index_case_beta_max,t_index_case_recovery
1,10000003,88,121,73.8,worker,1,0,152,0.03110331933114638,13.4
2,10000003,88,121,73.8,worker,1,0,151,2.6062910265679283e-9,13.100000000000001
3,10000003,88,121,73.8,worker,2,0,169,0.009274278451901229,13.200000000000001
4,10000003,88,121,73.8,resident,0,1,10,0.00039141864285965807,10.9
5,10000003,88,121,73.8,worker,1,0,111,0.00101252270766443,10.200000000000001
6,10000003,88,121,73.8,worker,1,0,157,1.3143396693247157e-6,9.1
7,10000003,88,121,73.8,worker,1,0,122,0.0011733979454580082,15.5
8,10000003,88,121,73.8,resident,0,1,59,5.298463259095696e-10,12.5
9,10000003,88,121,73.8,resident,1,27,78,0.2356600587906113,14.5
10,10000003,88,121,73.8,resident,0,1,25,6.27042702831754e-5,12.3
11,10000003,88,121,73.8,worker,1,0,124,0.0007418666685498984,14.4
12,10000003,88,121,73.8,worker,1,0,127,8.076942715295783e-5,10.700000000000001
13,10000003,88,121,73.8,worker,1,0,140,8.609624225714824e-19,14.600000000000001
14,10000003,88,121,73.8,resident,0,3,15,0.006892944097112108,12.200000000000001
15,10000003,88,121,73.8,worker,5,2,157,0.2612648609561388,11.9
16,10000003,88,121,73.8,worker,1,0,165,0.008521375590627633,14.600000000000001
17,10000003,88,121,73.8,worker,6,1,198,0.32820265271943366,16.400000000000002
18,10000003,88,121,73.8,resident,0,4,73,0.02730762542836306,13.3
19,10000003,88,121,73.8,worker,1,0,107,1.5877112021415149e-6,11.100000000000001
20,10000003,88,121,73.8,worker,1,0,125,4.753036595066695e-10,16.0
21,10000003,88,121,73.8,worker,4,2,112,0.19750561862908875,15.200000000000001
22,10000003,88,121,73.8,worker,1,0,181,3.1579977962309063e-12,14.100000000000001
23,10000003,88,121,73.8,resident,0,23,56,0.14226177862944894,15.100000000000001
24,10000003,88,121,73.8,worker,1,0,151,0.03474389353978888,14.8
25,10000003,88,121,73.8,worker,1,0,144,0.02513989474454893,10.0
26,10000003,88,121,73.8,worker,1,0,119,7.642549146099515e-7,12.8
27,10000003,88,121,73.8,worker,2,1,109,0.04818254512115607,16.0
28,10000003,88,121,73.8,worker,1,0,175,0.023324716745921525,11.200000000000001
29,10000003,88,121,73.8,worker,1,0,112,5.244050666206133e-7,15.5
30,10000003,88,121,73.8,resident,0,4,42,0.007249822052175453,18.3
31,10000003,88,121,73.8,worker,1,0,170,3.3931635110804094e-5,13.200000000000001
32,10000003,88,121,73.8,worker,1,0,154,0.13786119598183427,12.700000000000001
33,10000003,88,121,73.8,worker,1,0,140,0.00018693140530603745,11.600000000000001
34,10000003,88,121,73.8,worker,1,0,139,0.004567322057898253,15.100000000000001
35,10000003,88,121,73.8,worker,1,0,193,0.00015713418193201976,13.700000000000001
36,10000003,88,121,73.8,worker,1,0,160,1.3810180914385666e-6,19.200000000000003
37,10000003,88,121,73.8,worker,5,2,136,0.715082390923066,11.9
38,10000003,88,121,73.8,worker,1,0,162,2.070295567285527e-5,10.9
39,10000003,88,121,73.8,worker,1,0,121,0.0009539617067885171,11.9
40,10000003,88,121,73.8,worker,1,0,177,0.031500407874576065,13.200000000000001
41,10000003,88,121,73.8,resident,2,34,68,0.2824703923433909,15.3
42,10000003,88,121,73.8,worker,2,1,102,0.1690807874668828,13.3
43,10000003,88,121,73.8,worker,1,0,170,1.4723965081296151e-5,12.100000000000001
44,10000003,88,121,73.8,worker,1,0,168,7.204249564041415e-6,11.200000000000001
45,10000003,88,121,73.8,worker,1,0,142,0.028730218260728607,9.3
46,10000003,88,121,73.8,resident,0,2,4,0.0007677711964100322,9.200000000000001
47,10000003,88,121,73.8,worker,1,0,140,8.198220847316974e-14,9.200000000000001
48,10000003,88,121,73.8,worker,1,0,130,1.163488428306736e-7,10.9
49,10000003,88,121,73.8,resident,0,2,20,0.00418723862611473,10.700000000000001
50,10000003,88,121,73.8,worker,1,0,185,3.352961634338684e-5,19.1
51,10000003,88,121,73.8,worker,1,0,207,0.000682082754662116,11.4
52,10000003,88,121,73.8,worker,1,0,187,0.002911250397326874,13.100000000000001
53,10000003,88,121,73.8,worker,1,0,158,0.00042468075974563504,11.700000000000001
54,10000003,88,121,73.8,worker,2,0,152,0.02331657173748326,9.5
55,10000003,88,121,73.8,resident,0,2,44,0.02350080064786792,16.1
56,10000003,88,121,73.8,resident,0,9,73,0.04828787938978546,12.600000000000001
57,10000003,88,121,73.8,worker,1,0,120,0.0008797774878347755,11.3
58,10000003,88,121,73.8,worker,1,0,108,0.0009308266649293325,16.400000000000002
59,10000003,88,121,73.8,resident,0,29,58,0.45981703050941136,8.200000000000001
60,10000003,88,121,73.8,worker,1,0,193,0.0063013059279325555,9.4
61,10000003,88,121,73.8,resident,0,1,12,1.507214004028384e-10,17.400000000000002
62,10000003,88,121,73.8,worker,1,0,167,3.756686772417302e-5,16.8
