Row,R0,lambda,p_outbreak,cum_I_q50,OB_duration_q50,peak_FTE_def_q50,cum_Res_Iso_q50,t_declare_q50,t_first_case_q50
R0_2.4_CIC_0.75_LD_0.0,2.4,3,0.181225081551287,38,22,6.6,20,14.1,7.1
R0_2.4_CIC_0.5_LD_0.0,2.4,3,0.187511719482468,48,27,6.6,28,14.6,7.1
R0_2.4_CIC_0.25_LD_0.0,2.4,3,0.191387559808612,62,32,6.4,40,14.1,7.1
