Row,R0,lambda,p_outbreak,cum_I_q90,OB_duration_q90,peak_FTE_def_q90,cum_Res_Iso_q90,t_declare_q90,t_first_case_q90
R0_2.4_CIC_0.75_LD_0.0,2.4,3,0.181225081551287,79,40,15.4,47,26.1,13.1
R0_2.4_CIC_0.5_LD_0.0,2.4,3,0.187511719482468,94,47,15.4,61,26.1,13.1
R0_2.4_CIC_0.25_LD_0.0,2.4,3,0.191387559808612,102,52,15.4,70.5,26.1,13.1
