run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,I_tot_staff,I_tot_res,index_case_id,index_case_beta_max,t_index_case_recovery
1,10000003,88,121,73.8,worker,1,0,152,0.05655148969299342,13.4
2,10000003,88,121,73.8,worker,1,0,151,4.738710957396234e-9,13.100000000000001
3,10000003,88,121,73.8,worker,2,0,169,0.01686232445800224,13.200000000000001
4,10000003,88,121,73.8,resident,0,1,10,0.0007116702597448328,10.9
5,10000003,88,121,73.8,worker,1,0,111,0.001840950377571691,10.200000000000001
6,10000003,88,121,73.8,worker,1,0,157,2.389708489681301e-6,9.1
7,10000003,88,121,73.8,worker,1,0,122,0.002133450809923652,15.5
8,10000003,88,121,73.8,resident,0,1,59,9.633569561992176e-10,12.5
9,10000003,88,121,73.8,resident,3,33,78,0.42847283416474785,14.5
10,10000003,88,121,73.8,resident,0,1,25,0.000114007764151228,12.3
11,10000003,88,121,73.8,worker,1,0,124,0.0013488484882725428,14.4
12,10000003,88,121,73.8,worker,1,0,127,0.0001468535039144688,10.700000000000001
13,10000003,88,121,73.8,worker,1,0,140,1.5653862228572408e-18,14.600000000000001
14,10000003,88,121,73.8,resident,0,2,15,0.012532625631112924,12.200000000000001
15,10000003,88,121,73.8,worker,7,4,157,0.47502701992025237,11.9
16,10000003,88,121,73.8,worker,1,0,165,0.015493410164777515,14.600000000000001
17,10000003,88,121,73.8,worker,10,3,198,0.5967320958535158,16.400000000000002
18,10000003,88,121,73.8,resident,0,5,73,0.049650228051569205,13.3
19,10000003,88,121,73.8,worker,1,0,107,2.8867476402573e-6,11.100000000000001
20,10000003,88,121,73.8,worker,1,0,125,8.641884718303081e-10,16.0
21,10000003,88,121,73.8,worker,6,2,112,0.35910112478016143,15.200000000000001
22,10000003,88,121,73.8,worker,1,0,181,5.741814174965286e-12,14.100000000000001
23,10000003,88,121,73.8,resident,2,31,56,0.2586577793262709,15.100000000000001
24,10000003,88,121,73.8,worker,5,0,151,0.06317071552688887,14.8
25,10000003,88,121,73.8,worker,1,0,144,0.04570889953554351,10.0
26,10000003,88,121,73.8,worker,1,0,119,1.3895543901999118e-6,12.8
27,10000003,88,121,73.8,worker,5,1,109,0.08760462749301104,16.0
28,10000003,88,121,73.8,worker,1,0,175,0.0424085759016755,11.200000000000001
29,10000003,88,121,73.8,worker,1,0,112,9.534637574920243e-7,15.5
30,10000003,88,121,73.8,resident,1,3,42,0.013181494640319008,18.3
31,10000003,88,121,73.8,worker,1,0,170,6.169388201964383e-5,13.200000000000001
32,10000003,88,121,73.8,worker,2,1,154,0.2506567199669714,12.700000000000001
33,10000003,88,121,73.8,worker,1,0,140,0.0003398752823746136,11.600000000000001
34,10000003,88,121,73.8,worker,1,0,139,0.008304221923451371,15.100000000000001
35,10000003,88,121,73.8,worker,1,0,193,0.0002856985126036723,13.700000000000001
36,10000003,88,121,73.8,worker,1,0,160,2.5109419844337577e-6,19.200000000000003
37,10000003,88,121,73.8,worker,9,4,136,1.3001498016783022,11.9
38,10000003,88,121,73.8,worker,1,0,162,3.764173758700959e-5,10.9
39,10000003,88,121,73.8,worker,1,0,121,0.001734475830524577,11.9
40,10000003,88,121,73.8,worker,1,0,177,0.05727346886286557,13.200000000000001
41,10000003,88,121,73.8,resident,2,35,68,0.513582531533438,15.3
42,10000003,88,121,73.8,worker,3,3,102,0.3074196135761505,13.3
43,10000003,88,121,73.8,worker,1,0,170,2.677084560235664e-5,12.100000000000001
44,10000003,88,121,73.8,worker,1,0,168,1.3098635570984392e-5,11.200000000000001
45,10000003,88,121,73.8,worker,1,0,142,0.05223676047405202,9.3
46,10000003,88,121,73.8,resident,0,2,4,0.0013959476298364226,9.200000000000001
47,10000003,88,121,73.8,worker,1,0,140,1.4905856086030864e-13,9.200000000000001
48,10000003,88,121,73.8,worker,1,0,130,2.1154335060122476e-7,10.9
49,10000003,88,121,73.8,resident,0,1,20,0.007613161138390418,10.700000000000001
50,10000003,88,121,73.8,worker,1,0,185,6.09629388061579e-5,19.1
51,10000003,88,121,73.8,worker,1,0,207,0.0012401504630220291,11.4
52,10000003,88,121,73.8,worker,1,0,187,0.005293182540594317,13.100000000000001
53,10000003,88,121,73.8,worker,1,0,158,0.0007721468359011546,11.700000000000001
