Row,R0,lambda,p_outbreak,cum_I_q50,OB_duration_q50,peak_FTE_def_q50,cum_Res_Iso_q50,t_declare_q50,t_first_case_q50
R0_1.5_CR_3.0_LD_0.0,1.5,3,0.0949938254013489,22,12,4.2,9,16.1,8.1
R0_1.5_CR_6.0_LD_0.0,1.5,6,0.0977039570102589,21,14,2.6,12,14.1,8.1
R0_1.5_CR_10.0_LD_0.0,1.5,10,0.111457868925546,24,19,2,18,13.1,7.1
R0_1.5_CR_20.0_LD_0.0,1.5,20,0.120831319478009,34,25,1.2,29,12.1,7.1
R0_1.5_CR_30.0_LD_0.0,1.5,30,0.111769308147983,32,25,1,28,11.6,7.1
