Row,R0,lambda,p_outbreak,cum_I_q50,OB_duration_q50,peak_FTE_def_q50,cum_Res_Iso_q50,t_declare_q50,t_first_case_q50
R0_2.0_CR_3.0_LD_0.9,2,3,0.140350877192982,26,12,5.6,11,15.1,8.1
R0_2.0_CR_6.0_LD_0.9,2,6,0.149075730471079,25,15,3.6,14,14.1,7.1
R0_2.0_CR_10.0_LD_0.9,2,10,0.14208581983518,24,16,2.4,16,13.1,7.1
R0_2.0_CR_20.0_LD_0.9,2,20,0.151791135397693,27,18.5,1.6,22,12.1,7.1
R0_2.0_CR_30.0_LD_0.9,2,30,0.145623998835008,30,20,1.2,26,11.1,7.1
