Row,R0,lambda,p_outbreak,cum_I_q90,OB_duration_q90,peak_FTE_def_q90,cum_Res_Iso_q90,t_declare_q90,t_first_case_q90
R0_2.0_CR_3.0_LD_0.9,2,3,0.140350877192982,50.5,20,13.2,21,27.6,14.1
R0_2.0_CR_6.0_LD_0.9,2,6,0.149075730471079,49,24,9.3,29.5,26.1,14.1
R0_2.0_CR_10.0_LD_0.9,2,10,0.14208581983518,49.5,25,7.2,35,23.1,14.1
R0_2.0_CR_20.0_LD_0.9,2,20,0.151791135397693,57,29,4.8,48,22.1,13.1
R0_2.0_CR_30.0_LD_0.9,2,30,0.145623998835008,60,31,3.8,53,21.1,13.1
