run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,t_first_detection,OB_declared,t_OB_on,t_OB_off,I_cum_OB_on,Det_cum_OB_on,F_max,Iso_max,I_tot_staff,Det_tot_staff,I_tot_res,Det_tot_res,FTE_def_max,sim_duration
4087,10000003,88,121,73.79999999999998,worker,12.100000000000001,true,16.1,65.10000000000001,12,4,0,0,85,50,75,51,0.0,65.10000000000001
4088,10000003,88,121,73.79999999999998,resident,4.1000000000000005,true,14.100000000000001,52.1,33,7,0,0,91,53,82,53,0.0,52.1
4089,10000003,88,121,73.79999999999998,resident,7.1000000000000005,false,NaN,NaN,-1,-1,0,0,2,1,2,2,0.0,21.1
4090,10000003,88,121,73.79999999999998,worker,21.1,false,NaN,NaN,-1,-1,0,0,3,1,0,0,0.0,25.1
4091,10000003,88,121,73.79999999999998,resident,9.1,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,17.1
4092,10000003,88,121,73.79999999999998,worker,4.1000000000000005,true,29.1,83.10000000000001,31,9,0,0,85,53,71,50,0.0,83.10000000000001
4093,10000003,88,121,73.79999999999998,worker,8.1,false,NaN,NaN,-1,-1,0,0,2,1,0,0,0.0,20.1
4094,10000003,88,121,73.79999999999998,resident,5.1000000000000005,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,14.100000000000001
4095,10000003,88,121,73.79999999999998,worker,12.100000000000001,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,16.1
4096,10000003,88,121,73.79999999999998,worker,6.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,13.100000000000001
4097,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,11.100000000000001
4098,10000003,88,121,73.79999999999998,resident,6.1000000000000005,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,14.100000000000001
4099,10000003,88,121,73.79999999999998,worker,6.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,14.100000000000001
4100,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,2,0,0,0,0.0,23.1
4101,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,14.100000000000001
4102,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,13.100000000000001
4103,10000003,88,121,73.79999999999998,worker,4.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,11.100000000000001
4104,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,16.1
4105,10000003,88,121,73.79999999999998,worker,6.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,13.100000000000001
4106,10000003,88,121,73.79999999999998,worker,6.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,1,1,0.0,15.100000000000001
4107,10000003,88,121,73.79999999999998,resident,4.1000000000000005,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,10.100000000000001
4108,10000003,88,121,73.79999999999998,worker,7.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,9.1
4109,10000003,88,121,73.79999999999998,resident,7.1000000000000005,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,12.100000000000001
4110,10000003,88,121,73.79999999999998,resident,4.1000000000000005,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,12.100000000000001
4111,10000003,88,121,73.79999999999998,resident,4.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,0,2,1,0.0,19.1
4112,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,15.100000000000001
