run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,I_tot_staff,I_tot_res,index_case_id,index_case_beta_max,t_index_case_recovery
1,10000003,88,121,73.8,worker,1,0,152,0.002827574484649671,13.4
2,10000003,88,121,73.8,worker,1,0,151,2.3693554786981165e-10,13.100000000000001
3,10000003,88,121,73.8,worker,1,0,169,0.0008431162229001118,13.200000000000001
4,10000003,88,121,73.8,resident,0,1,10,3.5583512987241635e-5,10.9
5,10000003,88,121,73.8,worker,1,0,111,9.204751887858453e-5,10.200000000000001
6,10000003,88,121,73.8,worker,1,0,157,1.1948542448406505e-7,9.1
7,10000003,88,121,73.8,worker,1,0,122,0.00010667254049618256,15.5
8,10000003,88,121,73.8,resident,0,1,59,4.816784780996087e-11,12.5
9,10000003,88,121,73.8,resident,1,1,78,0.02142364170823739,14.5
10,10000003,88,121,73.8,resident,0,1,25,5.7003882075614e-6,12.3
11,10000003,88,121,73.8,worker,1,0,124,6.744242441362712e-5,14.4
12,10000003,88,121,73.8,worker,1,0,127,7.342675195723439e-6,10.700000000000001
13,10000003,88,121,73.8,worker,1,0,140,7.826931114286203e-20,14.600000000000001
14,10000003,88,121,73.8,resident,0,1,15,0.0006266312815556461,12.200000000000001
15,10000003,88,121,73.8,worker,1,0,157,0.023751350996012617,11.9
16,10000003,88,121,73.8,worker,1,0,165,0.0007746705082388756,14.600000000000001
17,10000003,88,121,73.8,worker,1,2,198,0.02983660479267579,16.400000000000002
18,10000003,88,121,73.8,resident,0,1,73,0.0024825114025784595,13.3
19,10000003,88,121,73.8,worker,1,0,107,1.44337382012865e-7,11.100000000000001
20,10000003,88,121,73.8,worker,1,0,125,4.32094235915154e-11,16.0
21,10000003,88,121,73.8,worker,2,0,112,0.017955056239008067,15.200000000000001
22,10000003,88,121,73.8,worker,1,0,181,2.870907087482642e-13,14.100000000000001
23,10000003,88,121,73.8,resident,0,1,56,0.012932888966313541,15.100000000000001
24,10000003,88,121,73.8,worker,1,0,151,0.0031585357763444432,14.8
25,10000003,88,121,73.8,worker,1,0,144,0.002285444976777175,10.0
26,10000003,88,121,73.8,worker,1,0,119,6.947771950999558e-8,12.8
27,10000003,88,121,73.8,worker,1,0,109,0.004380231374650552,16.0
28,10000003,88,121,73.8,worker,1,0,175,0.002120428795083775,11.200000000000001
29,10000003,88,121,73.8,worker,1,0,112,4.767318787460121e-8,15.5
30,10000003,88,121,73.8,resident,0,1,42,0.0006590747320159502,18.3
31,10000003,88,121,73.8,worker,1,0,170,3.0846941009821907e-6,13.200000000000001
32,10000003,88,121,73.8,worker,1,0,154,0.012532835998348568,12.700000000000001
33,10000003,88,121,73.8,worker,1,0,140,1.6993764118730676e-5,11.600000000000001
34,10000003,88,121,73.8,worker,1,0,139,0.0004152110961725685,15.100000000000001
35,10000003,88,121,73.8,worker,1,0,193,1.4284925630183613e-5,13.700000000000001
36,10000003,88,121,73.8,worker,1,0,160,1.255470992216879e-7,19.200000000000003
37,10000003,88,121,73.8,worker,1,0,136,0.06500749008391508,11.9
38,10000003,88,121,73.8,worker,1,0,162,1.882086879350479e-6,10.9
39,10000003,88,121,73.8,worker,1,0,121,8.672379152622881e-5,11.9
40,10000003,88,121,73.8,worker,1,0,177,0.002863673443143278,13.200000000000001
41,10000003,88,121,73.8,resident,1,1,68,0.025679126576671898,15.3
42,10000003,88,121,73.8,worker,1,0,102,0.015370980678807525,13.3
43,10000003,88,121,73.8,worker,1,0,170,1.3385422801178318e-6,12.100000000000001
44,10000003,88,121,73.8,worker,1,0,168,6.549317785492196e-7,11.200000000000001
45,10000003,88,121,73.8,worker,1,0,142,0.0026118380237026007,9.3
46,10000003,88,121,73.8,resident,0,1,4,6.979738149182111e-5,9.200000000000001
47,10000003,88,121,73.8,worker,1,0,140,7.452928043015431e-15,9.200000000000001
48,10000003,88,121,73.8,worker,1,0,130,1.0577167530061236e-8,10.9
