beta,R_est
0.01,0.278
0.015,0.421
0.02,0.541
0.025,0.679
0.03,0.802
0.035,0.907
0.04,1.029
0.045,1.138
0.05,1.257
0.055,1.366
0.06,1.435
0.065,1.531
0.07,1.638
0.075,1.746
0.08,1.824
0.085,1.916
0.09,2.023
0.095,2.111
0.1,2.179
0.105,2.322
0.11,2.396
0.115,2.454
0.12,2.542
0.125,2.596
0.13,2.67
0.135,2.73
0.14,2.829
0.145,2.885
0.15,2.946
0.155,3.016
0.16,3.099
0.165,3.18
0.17,3.237
0.175,3.298
0.18,3.382
0.185,3.447
0.19,3.507
0.195,3.579
0.2,3.62
