run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,I_tot_staff,I_tot_res,index_case_id,index_case_beta_max,t_index_case_recovery
1,10000003,88,121,73.8,worker,4,1,152,0.2544817036184704,13.4
2,10000003,88,121,73.8,worker,1,0,151,2.132419930828305e-8,13.100000000000001
3,10000003,88,121,73.8,worker,1,2,169,0.07588046006101007,13.200000000000001
4,10000003,88,121,73.8,resident,0,1,10,0.003202516168851748,10.9
5,10000003,88,121,73.8,worker,1,0,111,0.008284276699072609,10.200000000000001
6,10000003,88,121,73.8,worker,1,0,157,1.0753688203565857e-5,9.1
7,10000003,88,121,73.8,worker,1,0,122,0.009600528644656433,15.5
8,10000003,88,121,73.8,resident,0,1,59,4.335106302896478e-9,12.5
9,10000003,88,121,73.8,resident,7,30,78,1.9281277537413652,14.5
10,10000003,88,121,73.8,resident,0,1,25,0.000513034938680526,12.3
11,10000003,88,121,73.8,worker,1,0,124,0.006069818197226441,14.4
12,10000003,88,121,73.8,worker,1,0,127,0.0006608407676151096,10.700000000000001
13,10000003,88,121,73.8,worker,1,0,140,7.044238002857584e-18,14.600000000000001
14,10000003,88,121,73.8,resident,0,3,15,0.05639681534000815,12.200000000000001
15,10000003,88,121,73.8,worker,18,11,157,2.1376215896411352,11.9
16,10000003,88,121,73.8,worker,1,1,165,0.06972034574149881,14.600000000000001
17,10000003,88,121,73.8,worker,18,8,198,2.6852944313408207,16.400000000000002
18,10000003,88,121,73.8,resident,0,7,73,0.2234260262320614,13.3
19,10000003,88,121,73.8,worker,1,0,107,1.2990364381157848e-5,11.100000000000001
20,10000003,88,121,73.8,worker,1,0,125,3.8888481232363865e-9,16.0
21,10000003,88,121,73.8,worker,22,7,112,1.6159550615107263,15.200000000000001
22,10000003,88,121,73.8,worker,1,0,181,2.5838163787343782e-11,14.100000000000001
23,10000003,88,121,73.8,resident,7,36,56,1.1639600069682188,15.100000000000001
24,10000003,88,121,73.8,worker,11,2,151,0.28426821987099987,14.8
25,10000003,88,121,73.8,worker,1,2,144,0.2056900479099458,10.0
26,10000003,88,121,73.8,worker,1,0,119,6.252994755899604e-6,12.8
27,10000003,88,121,73.8,worker,8,3,109,0.39422082371854966,16.0
28,10000003,88,121,73.8,worker,3,0,175,0.19083859155753974,11.200000000000001
29,10000003,88,121,73.8,worker,1,0,112,4.290586908714109e-6,15.5
30,10000003,88,121,73.8,resident,2,1,42,0.05931672588143553,18.3
31,10000003,88,121,73.8,worker,1,0,170,0.0002776224690883972,13.200000000000001
32,10000003,88,121,73.8,worker,10,2,154,1.1279552398513712,12.700000000000001
33,10000003,88,121,73.8,worker,1,0,140,0.001529438770685761,11.600000000000001
34,10000003,88,121,73.8,worker,1,0,139,0.037368998655531165,15.100000000000001
35,10000003,88,121,73.8,worker,1,0,193,0.0012856433067165254,13.700000000000001
36,10000003,88,121,73.8,worker,1,0,160,1.129923892995191e-5,19.200000000000003
37,10000003,88,121,73.8,worker,19,8,136,5.85067410755236,11.9
38,10000003,88,121,73.8,worker,1,0,162,0.00016938781914154315,10.9
39,10000003,88,121,73.8,worker,1,0,121,0.0078051412373605945,11.9
40,10000003,88,121,73.8,worker,2,0,177,0.25773060988289503,13.200000000000001
41,10000003,88,121,73.8,resident,12,40,68,2.311121391900471,15.3
42,10000003,88,121,73.8,worker,9,1,102,1.3833882610926773,13.3
43,10000003,88,121,73.8,worker,1,0,170,0.00012046880521060488,12.100000000000001
44,10000003,88,121,73.8,worker,1,0,168,5.8943860069429767e-5,11.200000000000001
45,10000003,88,121,73.8,worker,1,1,142,0.23506542213323411,9.3
46,10000003,88,121,73.8,resident,0,1,4,0.006281764334263901,9.200000000000001
47,10000003,88,121,73.8,worker,1,0,140,6.707635238713889e-13,9.200000000000001
48,10000003,88,121,73.8,worker,1,0,130,9.519450777055114e-7,10.9
49,10000003,88,121,73.8,resident,0,1,20,0.03425922512275688,10.700000000000001
50,10000003,88,121,73.8,worker,1,0,185,0.0002743332246277105,19.1
51,10000003,88,121,73.8,worker,1,0,207,0.00558067708359913,11.4
52,10000003,88,121,73.8,worker,1,0,187,0.023819321432674425,13.100000000000001
53,10000003,88,121,73.8,worker,1,0,158,0.0034746607615551957,11.700000000000001
54,10000003,88,121,73.8,worker,2,0,152,0.1907719505794085,9.5
55,10000003,88,121,73.8,resident,1,6,44,0.19227927802801026,16.1
56,10000003,88,121,73.8,resident,0,5,73,0.39508264955279015,12.600000000000001
57,10000003,88,121,73.8,worker,1,0,120,0.00719817944592089,11.3
58,10000003,88,121,73.8,worker,1,0,108,0.007615854531239993,16.400000000000002
59,10000003,88,121,73.8,resident,4,28,58,3.7621393405315477,8.200000000000001
60,10000003,88,121,73.8,worker,2,0,193,0.05155613941035727,9.4
61,10000003,88,121,73.8,resident,0,1,12,1.2331750942050416e-9,17.400000000000002
62,10000003,88,121,73.8,worker,1,0,167,0.0003073652813795974,16.8
63,10000003,88,121,73.8,worker,11,6,157,0.43172234460161524,14.5
64,10000003,88,121,73.8,worker,1,0,105,0.00015232001853797034,14.4
65,10000003,88,121,73.8,worker,6,4,109,0.258098876655987,11.9
66,10000003,88,121,73.8,worker,8,1,128,0.43931894805965893,9.9
67,10000003,88,121,73.8,resident,0,1,47,4.374132101167054e-5,17.900000000000002
68,10000003,88,121,73.8,resident,0,1,19,7.748107266509918e-7,11.4
69,10000003,88,121,73.8,resident,1,4,75,0.19122453181969193,15.100000000000001
70,10000003,88,121,73.8,worker,1,0,178,0.01401203448030839,13.0
71,10000003,88,121,73.8,resident,0,1,74,3.276010591878679e-7,13.4
72,10000003,88,121,73.8,resident,5,23,87,0.9069573478757759,13.9
73,10000003,88,121,73.8,resident,0,1,83,0.017280945356986772,10.3
74,10000003,88,121,73.8,resident,4,18,78,0.8801466679844434,14.9
75,10000003,88,121,73.8,resident,2,2,62,0.10244012791747267,12.3
76,10000003,88,121,73.8,worker,1,0,116,4.4711026263444876e-5,8.4
77,10000003,88,121,73.8,worker,6,4,186,0.7775544162331536,12.0
78,10000003,88,121,73.8,worker,2,0,140,0.03828796837730717,13.3
79,10000003,88,121,73.8,resident,6,14,27,1.1401429052416938,10.8
80,10000003,88,121,73.8,resident,1,7,32,0.17565508240077407,24.8
81,10000003,88,121,73.8,worker,8,5,89,1.4621898104579127,12.0
82,10000003,88,121,73.8,worker,14,8,109,1.3226312300184109,9.5
83,10000003,88,121,73.8,worker,1,0,133,1.6728857314619178e-5,18.0
84,10000003,88,121,73.8,worker,1,0,164,7.201736863125707e-6,8.700000000000001
85,10000003,88,121,73.8,worker,26,8,123,1.9289050105041587,14.200000000000001
86,10000003,88,121,73.8,worker,1,0,178,3.1995138718349523e-13,21.3
87,10000003,88,121,73.8,worker,15,6,140,0.6949465534202246,12.9
88,10000003,88,121,73.8,worker,1,0,171,0.004699350425158442,13.200000000000001
89,10000003,88,121,73.8,worker,1,0,186,0.010019145314398955,17.5
90,10000003,88,121,73.8,resident,2,21,23,0.6936174255645796,11.100000000000001
91,10000003,88,121,73.8,worker,1,0,138,0.020425753324750082,15.200000000000001
92,10000003,88,121,73.8,worker,23,3,156,1.2370160055629382,16.900000000000002
93,10000003,88,121,73.8,resident,0,1,41,4.607075629678305e-6,13.5
94,10000003,88,121,73.8,worker,27,9,112,3.881017295613918,13.600000000000001
95,10000003,88,121,73.8,worker,7,1,181,3.2984040704995046,12.3
96,10000003,88,121,73.8,worker,1,0,200,0.1751647673563329,17.1
97,10000003,88,121,73.8,worker,1,0,198,4.017816862447059e-14,13.9
98,10000003,88,121,73.8,resident,0,1,15,0.0014103744923084354,9.4
99,10000003,88,121,73.8,resident,1,2,34,0.07826138942740594,22.6
100,10000003,88,121,73.8,worker,1,0,109,0.008233950210081128,12.0
101,10000003,88,121,73.8,worker,11,4,125,4.402854853223717,11.200000000000001
102,10000003,88,121,73.8,worker,1,0,123,2.9275955167429664e-5,12.100000000000001
103,10000003,88,121,73.8,resident,0,1,69,0.0010665556921666767,12.100000000000001
104,10000003,88,121,73.8,worker,1,0,126,2.2383651223301553e-15,13.100000000000001
105,10000003,88,121,73.8,worker,8,6,136,1.3798467733984394,15.100000000000001
106,10000003,88,121,73.8,resident,0,4,45,0.08646340577728623,10.4
107,10000003,88,121,73.8,worker,1,0,93,0.028215005031620517,11.100000000000001
108,10000003,88,121,73.8,worker,1,1,187,0.24552726934004807,12.100000000000001
109,10000003,88,121,73.8,worker,1,0,124,0.006313148619080865,8.9
110,10000003,88,121,73.8,worker,15,5,127,1.881598146988601,11.700000000000001
111,10000003,88,121,73.8,worker,2,0,139,0.13403055235275574,10.4
112,10000003,88,121,73.8,worker,3,0,109,0.036690978001717216,12.4
113,10000003,88,121,73.8,worker,1,0,147,1.9776904193988905e-6,10.100000000000001
114,10000003,88,121,73.8,worker,1,0,165,5.4789489765375115e-12,10.700000000000001
115,10000003,88,121,73.8,worker,6,1,144,1.1902708564235855,11.4
116,10000003,88,121,73.8,worker,1,0,163,0.00012826952358787735,13.0
117,10000003,88,121,73.8,worker,1,0,185,0.00012493722875558946,11.100000000000001
118,10000003,88,121,73.8,worker,1,0,102,0.0015018101577213413,11.4
119,10000003,88,121,73.8,worker,1,0,167,4.425101074036325e-6,10.4
120,10000003,88,121,73.8,worker,1,0,124,0.00039531123690867754,8.200000000000001
121,10000003,88,121,73.8,worker,8,2,111,0.7540425200501827,9.700000000000001
122,10000003,88,121,73.8,worker,1,0,166,0.01037976370707395,10.600000000000001
123,10000003,88,121,73.8,resident,1,5,51,0.24622228442887925,9.700000000000001
124,10000003,88,121,73.8,resident,0,3,86,0.07451217931703662,9.4
125,10000003,88,121,73.8,resident,0,1,30,0.0003565990174083382,16.7
126,10000003,88,121,73.8,resident,0,1,70,0.024119634699370306,13.8
127,10000003,88,121,73.8,worker,1,0,162,0.0002182969296838199,25.700000000000003
128,10000003,88,121,73.8,worker,1,0,129,0.005922007288274433,9.8
129,10000003,88,121,73.8,worker,1,0,174,0.2891991051001187,10.9
130,10000003,88,121,73.8,worker,1,0,101,2.677998418866011e-5,11.700000000000001
131,10000003,88,121,73.8,resident,0,3,68,0.030634121678188842,11.5
132,10000003,88,121,73.8,resident,1,9,44,0.3605404206274617,10.0
133,10000003,88,121,73.8,worker,1,0,169,0.0023449340097908217,9.0
134,10000003,88,121,73.8,worker,3,0,140,0.009705685959390305,10.100000000000001
135,10000003,88,121,73.8,resident,0,3,10,0.04159929081391504,15.100000000000001
136,10000003,88,121,73.8,worker,1,0,126,1.7724763374069195e-7,18.0
