Row,R0,lambda,p_outbreak,cum_I_q90,OB_duration_q90,peak_FTE_def_q90,cum_Res_Iso_q90,t_declare_q90,t_first_case_q90
R0_2.0_CIC_0.75_LD_0.0,2,3,0.145201103528387,61,33,13,34,28.1,13.1
R0_2.0_CIC_0.5_LD_0.0,2,3,0.148676776687481,72.5,41,12.6,47,27.1,13.1
R0_2.0_CIC_0.25_LD_0.0,2,3,0.1573564122738,84.5,46,12.4,60,27.6,13.1
