beta,R_est
0.025,0.679
0.05,1.257
0.075,1.746
0.1,2.179
0.125,2.596
0.15,2.946
0.175,3.298
0.2,3.62
0.225,3.953
0.25,4.256
0.275,4.535
0.3,4.755
0.325,4.979
0.35,5.215
0.375,5.45
0.4,5.679
0.425,5.936
0.45,6.092
0.475,6.307
0.5,6.477
