run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,I_tot_staff,I_tot_res,index_case_id,index_case_beta_max,t_index_case_recovery
1,10000003,88,121,73.8,worker,2,1,152,0.22903353325662337,13.4
2,10000003,88,121,73.8,worker,1,0,151,1.9191779377454746e-8,13.100000000000001
3,10000003,88,121,73.8,worker,1,2,169,0.06829241405490906,13.200000000000001
4,10000003,88,121,73.8,resident,0,1,10,0.0028822645519665725,10.9
5,10000003,88,121,73.8,worker,1,0,111,0.007455849029165348,10.200000000000001
6,10000003,88,121,73.8,worker,1,0,157,9.67831938320927e-6,9.1
7,10000003,88,121,73.8,worker,1,0,122,0.008640475780190789,15.5
8,10000003,88,121,73.8,resident,0,1,59,3.901595672606831e-9,12.5
9,10000003,88,121,73.8,resident,7,18,78,1.7353149783672286,14.5
10,10000003,88,121,73.8,resident,0,1,25,0.00046173144481247337,12.3
11,10000003,88,121,73.8,worker,1,0,124,0.005462836377503798,14.4
12,10000003,88,121,73.8,worker,1,0,127,0.0005947566908535987,10.700000000000001
13,10000003,88,121,73.8,worker,1,0,140,6.339814202571825e-18,14.600000000000001
14,10000003,88,121,73.8,resident,1,2,15,0.05075713380600734,12.200000000000001
15,10000003,88,121,73.8,worker,18,11,157,1.923859430677022,11.9
16,10000003,88,121,73.8,worker,2,0,165,0.06274831116734893,14.600000000000001
17,10000003,88,121,73.8,worker,16,5,198,2.416764988206739,16.400000000000002
18,10000003,88,121,73.8,resident,1,1,73,0.20108342360885526,13.3
19,10000003,88,121,73.8,worker,1,0,107,1.1691327943042063e-5,11.100000000000001
20,10000003,88,121,73.8,worker,1,0,125,3.4999633109127475e-9,16.0
21,10000003,88,121,73.8,worker,22,8,112,1.4543595553596538,15.200000000000001
22,10000003,88,121,73.8,worker,1,0,181,2.3254347408609405e-11,14.100000000000001
23,10000003,88,121,73.8,resident,4,15,56,1.047564006271397,15.100000000000001
24,10000003,88,121,73.8,worker,4,2,151,0.2558413978838999,14.8
25,10000003,88,121,73.8,worker,1,2,144,0.1851210431189512,10.0
26,10000003,88,121,73.8,worker,1,0,119,5.627695280309643e-6,12.8
27,10000003,88,121,73.8,worker,8,3,109,0.3547987413466947,16.0
28,10000003,88,121,73.8,worker,3,0,175,0.17175473240178576,11.200000000000001
29,10000003,88,121,73.8,worker,1,0,112,3.861528217842698e-6,15.5
30,10000003,88,121,73.8,resident,0,2,42,0.053385053293291976,18.3
31,10000003,88,121,73.8,worker,1,0,170,0.00024986022217955744,13.200000000000001
32,10000003,88,121,73.8,worker,10,4,154,1.0151597158662342,12.700000000000001
33,10000003,88,121,73.8,worker,1,0,140,0.001376494893617185,11.600000000000001
34,10000003,88,121,73.8,worker,1,0,139,0.03363209878997805,15.100000000000001
35,10000003,88,121,73.8,worker,1,0,193,0.0011570789760448727,13.700000000000001
36,10000003,88,121,73.8,worker,1,0,160,1.0169315036956719e-5,19.200000000000003
37,10000003,88,121,73.8,worker,17,10,136,5.265606696797123,11.9
38,10000003,88,121,73.8,worker,1,0,162,0.00015244903722738882,10.9
39,10000003,88,121,73.8,worker,1,0,121,0.007024627113624535,11.9
40,10000003,88,121,73.8,worker,2,0,177,0.23195754889460554,13.200000000000001
41,10000003,88,121,73.8,resident,7,25,68,2.080009252710424,15.3
42,10000003,88,121,73.8,worker,9,1,102,1.2450494349834096,13.3
43,10000003,88,121,73.8,worker,1,0,170,0.00010842192468954439,12.100000000000001
44,10000003,88,121,73.8,worker,1,0,168,5.3049474062486796e-5,11.200000000000001
45,10000003,88,121,73.8,worker,1,1,142,0.21155887991991068,9.3
46,10000003,88,121,73.8,resident,0,1,4,0.00565358790083751,9.200000000000001
47,10000003,88,121,73.8,worker,1,0,140,6.036871714842499e-13,9.200000000000001
48,10000003,88,121,73.8,worker,1,0,130,8.567505699349602e-7,10.9
49,10000003,88,121,73.8,resident,0,1,20,0.03083330261048119,10.700000000000001
50,10000003,88,121,73.8,worker,1,0,185,0.00024689990216493946,19.1
51,10000003,88,121,73.8,worker,1,0,207,0.005022609375239217,11.4
52,10000003,88,121,73.8,worker,1,0,187,0.021437389289406982,13.100000000000001
53,10000003,88,121,73.8,worker,1,0,158,0.003127194685399676,11.700000000000001
54,10000003,88,121,73.8,worker,2,0,152,0.17169475552146765,9.5
55,10000003,88,121,73.8,resident,1,5,44,0.17305135022520923,16.1
56,10000003,88,121,73.8,resident,2,3,73,0.3555743845975111,12.600000000000001
57,10000003,88,121,73.8,worker,1,0,120,0.006478361501328801,11.3
58,10000003,88,121,73.8,worker,1,0,108,0.006854269078115993,16.400000000000002
59,10000003,88,121,73.8,resident,10,15,58,3.3859254064783935,8.200000000000001
60,10000003,88,121,73.8,worker,2,0,193,0.046400525469321545,9.4
61,10000003,88,121,73.8,resident,0,1,12,1.1098575847845375e-9,17.400000000000002
62,10000003,88,121,73.8,worker,1,0,167,0.00027662875324163764,16.8
63,10000003,88,121,73.8,worker,9,3,157,0.3885501101414537,14.5
64,10000003,88,121,73.8,worker,1,0,105,0.00013708801668417328,14.4
65,10000003,88,121,73.8,worker,7,3,109,0.2322889889903883,11.9
66,10000003,88,121,73.8,worker,8,1,128,0.395387053253693,9.9
67,10000003,88,121,73.8,resident,0,1,47,3.936718891050348e-5,17.900000000000002
68,10000003,88,121,73.8,resident,0,1,19,6.973296539858924e-7,11.4
69,10000003,88,121,73.8,resident,0,3,75,0.17210207863772273,15.100000000000001
70,10000003,88,121,73.8,worker,1,0,178,0.01261083103227755,13.0
71,10000003,88,121,73.8,resident,0,1,74,2.9484095326908106e-7,13.4
72,10000003,88,121,73.8,resident,6,7,87,0.8162616130881983,13.9
73,10000003,88,121,73.8,resident,0,1,83,0.015552850821288095,10.3
74,10000003,88,121,73.8,resident,2,14,78,0.792132001185999,14.9
75,10000003,88,121,73.8,resident,1,2,62,0.09219611512572541,12.3
76,10000003,88,121,73.8,worker,1,0,116,4.023992363710039e-5,8.4
77,10000003,88,121,73.8,worker,6,2,186,0.6997989746098382,12.0
78,10000003,88,121,73.8,worker,2,0,140,0.03445917153957645,13.3
79,10000003,88,121,73.8,resident,5,13,27,1.0261286147175244,10.8
80,10000003,88,121,73.8,resident,1,3,32,0.15808957416069666,24.8
81,10000003,88,121,73.8,worker,6,7,89,1.315970829412121,12.0
82,10000003,88,121,73.8,worker,15,6,109,1.1903681070165697,9.5
83,10000003,88,121,73.8,worker,1,0,133,1.505597158315726e-5,18.0
84,10000003,88,121,73.8,worker,1,0,164,6.4815631768131365e-6,8.700000000000001
85,10000003,88,121,73.8,worker,28,6,123,1.7360145094537427,14.200000000000001
86,10000003,88,121,73.8,worker,1,0,178,2.879562484651457e-13,21.3
87,10000003,88,121,73.8,worker,15,6,140,0.6254518980782021,12.9
88,10000003,88,121,73.8,worker,1,0,171,0.0042294153826425976,13.200000000000001
89,10000003,88,121,73.8,worker,1,0,186,0.00901723078295906,17.5
90,10000003,88,121,73.8,resident,2,12,23,0.6242556830081215,11.100000000000001
91,10000003,88,121,73.8,worker,1,0,138,0.01838317799227507,15.200000000000001
92,10000003,88,121,73.8,worker,19,6,156,1.1133144050066444,16.900000000000002
93,10000003,88,121,73.8,resident,0,1,41,4.146368066710474e-6,13.5
94,10000003,88,121,73.8,worker,27,9,112,3.4929155660525257,13.600000000000001
95,10000003,88,121,73.8,worker,6,1,181,2.968563663449554,12.3
96,10000003,88,121,73.8,worker,1,0,200,0.1576482906206996,17.1
97,10000003,88,121,73.8,worker,1,0,198,3.616035176202353e-14,13.9
98,10000003,88,121,73.8,resident,0,1,15,0.0012693370430775918,9.4
99,10000003,88,121,73.8,resident,1,1,34,0.07043525048466534,22.6
100,10000003,88,121,73.8,worker,1,0,109,0.007410555189073015,12.0
101,10000003,88,121,73.8,worker,11,4,125,3.962569367901345,11.200000000000001
102,10000003,88,121,73.8,worker,1,0,123,2.6348359650686696e-5,12.100000000000001
103,10000003,88,121,73.8,resident,0,1,69,0.000959900122950009,12.100000000000001
104,10000003,88,121,73.8,worker,1,0,126,2.01452861009714e-15,13.100000000000001
105,10000003,88,121,73.8,worker,8,6,136,1.2418620960585955,15.100000000000001
106,10000003,88,121,73.8,resident,0,2,45,0.07781706519955761,10.4
107,10000003,88,121,73.8,worker,1,0,93,0.025393504528458465,11.100000000000001
108,10000003,88,121,73.8,worker,1,1,187,0.22097454240604325,12.100000000000001
109,10000003,88,121,73.8,worker,1,0,124,0.005681833757172778,8.9
110,10000003,88,121,73.8,worker,20,6,127,1.6934383322897408,11.700000000000001
111,10000003,88,121,73.8,worker,2,0,139,0.12062749711748016,10.4
112,10000003,88,121,73.8,worker,3,0,109,0.03302188020154549,12.4
113,10000003,88,121,73.8,worker,1,0,147,1.7799213774590013e-6,10.100000000000001
114,10000003,88,121,73.8,worker,1,0,165,4.9310540788837604e-12,10.700000000000001
115,10000003,88,121,73.8,worker,6,1,144,1.0712437707812268,11.4
116,10000003,88,121,73.8,worker,1,0,163,0.00011544257122908961,13.0
117,10000003,88,121,73.8,worker,1,0,185,0.00011244350588003051,11.100000000000001
118,10000003,88,121,73.8,worker,1,0,102,0.001351629141949207,11.4
119,10000003,88,121,73.8,worker,1,0,167,3.9825909666326915e-6,10.4
120,10000003,88,121,73.8,worker,1,0,124,0.0003557801132178098,8.200000000000001
121,10000003,88,121,73.8,worker,8,0,111,0.6786382680451644,9.700000000000001
122,10000003,88,121,73.8,worker,1,0,166,0.009341787336366553,10.600000000000001
123,10000003,88,121,73.8,resident,0,3,51,0.22160005598599133,9.700000000000001
124,10000003,88,121,73.8,resident,0,1,86,0.06706096138533295,9.4
125,10000003,88,121,73.8,resident,0,1,30,0.0003209391156675044,16.7
126,10000003,88,121,73.8,resident,0,1,70,0.021707671229433272,13.8
127,10000003,88,121,73.8,worker,1,0,162,0.00019646723671543792,25.700000000000003
128,10000003,88,121,73.8,worker,1,0,129,0.00532980655944699,9.8
129,10000003,88,121,73.8,worker,1,0,174,0.2602791945901068,10.9
130,10000003,88,121,73.8,worker,1,0,101,2.4101985769794096e-5,11.700000000000001
131,10000003,88,121,73.8,resident,0,1,68,0.027570709510369957,11.5
132,10000003,88,121,73.8,resident,0,7,44,0.3244863785647155,10.0
133,10000003,88,121,73.8,worker,1,0,169,0.002110440608811739,9.0
134,10000003,88,121,73.8,worker,2,0,140,0.008735117363451273,10.100000000000001
135,10000003,88,121,73.8,resident,0,2,10,0.037439361732523525,15.100000000000001
136,10000003,88,121,73.8,worker,1,0,126,1.5952287036662275e-7,18.0
137,10000003,88,121,73.8,worker,1,0,171,2.1221081187947943e-6,9.200000000000001
