tot_Res_Iso,frequency
0,0.036
5,0.048
10,0.013
15,0.012
20,0.011
25,0.004
30,0.005
35,0.012
40,0.055
45,0.152
50,0.29
55,0.264
60,0.09
65,0.008
70,0
75,0
80,0
85,0
