duration,frequency
0,0.005
5,0.037
10,0.028
15,0.017
20,0.013
25,0.023
30,0.104
35,0.177
40,0.191
45,0.16
50,0.108
55,0.062
60,0.028
65,0.02
70,0.01
75,0.01
80,0
85,0.006
90,0
95,0.001
