duration,frequency
0,0.005
5,0.041
10,0.046
15,0.03
20,0.022
25,0.026
30,0.067
35,0.135
40,0.185
45,0.143
50,0.128
55,0.079
60,0.044
65,0.017
70,0.015
75,0.01
80,0.001
85,0.003
90,0.002
95,0.001
