I_cum,frequency
0,0.002
5,0.021
10,0.01
15,0.027
20,0.008
25,0.013
30,0.011
35,0.004
40,0.002
45,0.005
50,0.005
55,0.002
60,0.001
65,0.001
70,0.001
75,0.001
80,0.001
85,0.003
90,0.003
95,0.002
100,0.006
105,0.001
110,0.001
115,0.002
120,0.002
125,0.006
130,0.011
135,0.009
140,0.014
145,0.032
150,0.043
155,0.059
160,0.081
165,0.099
170,0.128
175,0.13
180,0.12
185,0.076
190,0.043
195,0.012
200,0.002
205,0
