tot_Res_Iso,frequency
0,0.048
5,0.067
10,0.033
15,0.02
20,0.023
25,0.034
30,0.053
35,0.11
40,0.171
45,0.213
50,0.166
55,0.055
60,0.006
65,0
70,0.001
75,0
80,0
85,0
