duration,frequency
0,0.005
5,0.05
10,0.072
15,0.064
20,0.053
25,0.048
30,0.096
35,0.125
40,0.138
45,0.131
50,0.095
55,0.065
60,0.025
65,0.019
70,0.008
75,0.004
80,0.001
85,0
90,0.001
95,0
