I_cum,frequency
0,0.003
5,0.026
10,0.024
15,0.029
20,0.027
25,0.023
30,0.024
35,0.014
40,0.019
45,0.02
50,0.02
55,0.014
60,0.016
65,0.009
70,0.014
75,0.012
80,0.011
85,0.007
90,0.015
95,0.014
100,0.021
105,0.014
110,0.026
115,0.035
120,0.053
125,0.047
130,0.041
135,0.05
140,0.069
145,0.06
150,0.048
155,0.074
160,0.06
165,0.023
170,0.025
175,0.007
180,0.004
185,0.002
190,0
195,0
200,0
205,0
