Row,p_outbreak,cum_I_q50,OB_duration_q50,peak_FTE_def_q50,cum_Res_Iso_q50,t_declare_q50,t_first_case_q50
lockdown_only_LD_0.9,0.222469410456062,125,39,0,31,15.1,7.1
lockdown_only_LD_0.5,0.222469410456062,154,43,0,43,15.1,7.1
lockdown_only_LD_0.0,0.222469410456062,170,42,0,52,15.1,7.1
