Row,R0,lambda,p_outbreak,cum_I_q50,OB_duration_q50,peak_FTE_def_q50,cum_Res_Iso_q50,t_declare_q50,t_first_case_q50
R0_1.5_CR_3.0_LD_0.9,1.5,3,0.0949938254013489,21,11,4.2,9,16.1,8.1
R0_1.5_CR_6.0_LD_0.9,1.5,6,0.0977039570102589,18.5,12,2.6,10,14.1,8.1
R0_1.5_CR_10.0_LD_0.9,1.5,10,0.111457868925546,19,14,1.8,13,13.1,7.1
R0_1.5_CR_20.0_LD_0.9,1.5,20,0.120831319478009,21,17,1.2,17,12.1,7.1
R0_1.5_CR_30.0_LD_0.9,1.5,30,0.111769308147983,20,17,0.6,17,11.6,7.1
