Row,R0,lambda,p_outbreak,cum_I_q90,OB_duration_q90,peak_FTE_def_q90,cum_Res_Iso_q90,t_declare_q90,t_first_case_q90
R0_1.0_CR_3.0_LD_0.0,1,3,0.0480053766021794,33,18,7.2,15,29.1,14.1
R0_1.0_CR_6.0_LD_0.0,1,6,0.0630596544330937,34,24,5.6,23,26.1,14.1
R0_1.0_CR_10.0_LD_0.0,1,10,0.0670151454228656,34.5,27,3.6,28,26.1,14.1
R0_1.0_CR_20.0_LD_0.0,1,20,0.0725742071267871,41.5,31,2.4,38,22.1,14.1
R0_1.0_CR_30.0_LD_0.0,1,30,0.081327260897853,50,34,2,46,21.1,12.6
