Row,R0,lambda,p_outbreak,cum_I_q50,OB_duration_q50,peak_FTE_def_q50,cum_Res_Iso_q50,t_declare_q50,t_first_case_q50
R0_1.0_CR_3.0_LD_0.0,1,3,0.0480053766021794,17,11,3,8,16.1,8.1
R0_1.0_CR_6.0_LD_0.0,1,6,0.0630596544330937,16,12,2,9,14.1,8.1
R0_1.0_CR_10.0_LD_0.0,1,10,0.0670151454228656,16,13.5,1.2,11,14.1,8.1
R0_1.0_CR_20.0_LD_0.0,1,20,0.0725742071267871,17,16,0.9,14,13.1,7.1
R0_1.0_CR_30.0_LD_0.0,1,30,0.081327260897853,19,18,0.6,16,12.1,7.1
