beta,R_est
0.01,0.41
0.015,0.619
0.02,0.822
0.025,0.979
0.03,1.145
0.035,1.289
0.04,1.443
0.045,1.588
0.05,1.787
0.055,1.92
0.06,2.039
0.065,2.199
0.07,2.295
0.075,2.473
0.08,2.639
0.085,2.72
0.09,2.823
0.095,2.911
0.1,3.014
0.105,3.168
0.11,3.299
0.115,3.418
0.12,3.496
0.125,3.6
0.13,3.716
0.135,3.821
0.14,3.919
0.145,4.002
0.15,4.084
0.155,4.165
0.16,4.267
0.165,4.342
0.17,4.431
0.175,4.509
0.18,4.635
0.185,4.702
0.19,4.801
0.195,4.886
0.2,4.95
