Row,R0,lambda,p_outbreak,cum_I_q90,OB_duration_q90,peak_FTE_def_q90,cum_Res_Iso_q90,t_declare_q90,t_first_case_q90
R0_1.0_CIC_0.75_LD_0.0,1,3,0.053248136315229,33.5,21,7.6,16,30.1,14.1
R0_1.0_CIC_0.5_LD_0.0,1,3,0.0570027931368637,36,26,7.6,19,30.1,14.1
R0_1.0_CIC_0.25_LD_0.0,1,3,0.061980909879757,39,28,7.4,23,30.1,14.1
