beta,R_est
0.025,0.549
0.05,0.993
0.075,1.425
0.1,1.778
0.125,2.118
0.15,2.424
0.175,2.652
0.2,2.973
0.225,3.266
0.25,3.518
0.275,3.738
0.3,3.953
0.325,4.178
0.35,4.376
0.375,4.548
0.4,4.737
0.425,4.94
0.45,5.113
0.475,5.261
0.5,5.443
