beta,R_est
0.025,0.979
0.05,1.787
0.075,2.473
0.1,3.014
0.125,3.6
0.15,4.084
0.175,4.509
0.2,4.95
0.225,5.365
0.25,5.748
0.275,6.089
0.3,6.339
0.325,6.69
0.35,6.989
0.375,7.265
0.4,7.532
0.425,7.782
0.45,8.062
0.475,8.242
0.5,8.486
