Row,R0,lambda,p_outbreak,cum_I_q50,OB_duration_q50,peak_FTE_def_q50,cum_Res_Iso_q50,t_declare_q50,t_first_case_q50
R0_2.4_CIC_0.75_LD_CIC,2.4,3,0.181225081551287,34,18,6.6,15,14.1,7.1
R0_2.4_CIC_0.5_LD_CIC,2.4,3,0.187511719482468,41,24,6.6,22,14.6,7.1
R0_2.4_CIC_0.25_LD_CIC,2.4,3,0.191387559808612,55,29,6.6,34,14.1,7.1
