run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,I_tot_staff,I_tot_res,index_case_id,index_case_beta_max,t_index_case_recovery
1,10000003,88,121,73.8,worker,2,0,152,0.11310297938598685,13.4
2,10000003,88,121,73.8,worker,1,0,151,9.477421914792468e-9,13.100000000000001
3,10000003,88,121,73.8,worker,1,2,169,0.03372464891600448,13.200000000000001
4,10000003,88,121,73.8,resident,0,1,10,0.0014233405194896656,10.9
5,10000003,88,121,73.8,worker,1,0,111,0.003681900755143382,10.200000000000001
6,10000003,88,121,73.8,worker,1,0,157,4.779416979362602e-6,9.1
7,10000003,88,121,73.8,worker,1,0,122,0.004266901619847304,15.5
8,10000003,88,121,73.8,resident,0,1,59,1.926713912398435e-9,12.5
9,10000003,88,121,73.8,resident,6,53,78,0.8569456683294957,14.5
10,10000003,88,121,73.8,resident,0,1,25,0.000228015528302456,12.3
11,10000003,88,121,73.8,worker,1,0,124,0.0026976969765450855,14.4
12,10000003,88,121,73.8,worker,1,0,127,0.0002937070078289376,10.700000000000001
13,10000003,88,121,73.8,worker,1,0,140,3.1307724457144816e-18,14.600000000000001
14,10000003,88,121,73.8,resident,0,2,15,0.02506525126222585,12.200000000000001
15,10000003,88,121,73.8,worker,14,8,157,0.9500540398405047,11.9
16,10000003,88,121,73.8,worker,1,0,165,0.03098682032955503,14.600000000000001
17,10000003,88,121,73.8,worker,9,4,198,1.1934641917070317,16.400000000000002
18,10000003,88,121,73.8,resident,0,10,73,0.09930045610313841,13.3
19,10000003,88,121,73.8,worker,1,0,107,5.7734952805146e-6,11.100000000000001
20,10000003,88,121,73.8,worker,1,0,125,1.7283769436606162e-9,16.0
21,10000003,88,121,73.8,worker,15,5,112,0.7182022495603229,15.200000000000001
22,10000003,88,121,73.8,worker,1,0,181,1.1483628349930571e-11,14.100000000000001
23,10000003,88,121,73.8,resident,4,42,56,0.5173155586525418,15.100000000000001
24,10000003,88,121,73.8,worker,5,0,151,0.12634143105377774,14.8
25,10000003,88,121,73.8,worker,1,0,144,0.09141779907108702,10.0
26,10000003,88,121,73.8,worker,1,0,119,2.7791087803998236e-6,12.8
27,10000003,88,121,73.8,worker,6,1,109,0.17520925498602208,16.0
28,10000003,88,121,73.8,worker,1,0,175,0.084817151803351,11.200000000000001
29,10000003,88,121,73.8,worker,1,0,112,1.9069275149840485e-6,15.5
30,10000003,88,121,73.8,resident,2,4,42,0.026362989280638016,18.3
31,10000003,88,121,73.8,worker,1,0,170,0.00012338776403928765,13.200000000000001
32,10000003,88,121,73.8,worker,5,1,154,0.5013134399339428,12.700000000000001
33,10000003,88,121,73.8,worker,1,0,140,0.0006797505647492272,11.600000000000001
34,10000003,88,121,73.8,worker,1,0,139,0.016608443846902743,15.100000000000001
35,10000003,88,121,73.8,worker,1,0,193,0.0005713970252073446,13.700000000000001
36,10000003,88,121,73.8,worker,1,0,160,5.0218839688675155e-6,19.200000000000003
37,10000003,88,121,73.8,worker,14,5,136,2.6002996033566044,11.9
38,10000003,88,121,73.8,worker,1,0,162,7.528347517401918e-5,10.9
39,10000003,88,121,73.8,worker,1,0,121,0.003468951661049154,11.9
40,10000003,88,121,73.8,worker,2,0,177,0.11454693772573114,13.200000000000001
41,10000003,88,121,73.8,resident,5,63,68,1.027165063066876,15.3
42,10000003,88,121,73.8,worker,8,2,102,0.614839227152301,13.3
43,10000003,88,121,73.8,worker,1,0,170,5.354169120471328e-5,12.100000000000001
44,10000003,88,121,73.8,worker,1,0,168,2.6197271141968785e-5,11.200000000000001
45,10000003,88,121,73.8,worker,1,0,142,0.10447352094810404,9.3
46,10000003,88,121,73.8,resident,1,2,4,0.0027918952596728453,9.200000000000001
47,10000003,88,121,73.8,worker,1,0,140,2.9811712172061727e-13,9.200000000000001
48,10000003,88,121,73.8,worker,1,0,130,4.230867012024495e-7,10.9
49,10000003,88,121,73.8,resident,0,1,20,0.015226322276780837,10.700000000000001
50,10000003,88,121,73.8,worker,1,0,185,0.0001219258776123158,19.1
51,10000003,88,121,73.8,worker,1,0,207,0.0024803009260440582,11.4
52,10000003,88,121,73.8,worker,1,0,187,0.010586365081188634,13.100000000000001
53,10000003,88,121,73.8,worker,1,0,158,0.0015442936718023093,11.700000000000001
54,10000003,88,121,73.8,worker,2,0,152,0.08478753359084823,9.5
55,10000003,88,121,73.8,resident,0,9,44,0.08545745690133791,16.1
56,10000003,88,121,73.8,resident,1,17,73,0.17559228869012897,12.600000000000001
57,10000003,88,121,73.8,worker,1,0,120,0.003199190864853729,11.3
58,10000003,88,121,73.8,worker,1,0,108,0.0033848242361066636,16.400000000000002
59,10000003,88,121,73.8,resident,6,56,58,1.6720619291251324,8.200000000000001
60,10000003,88,121,73.8,worker,1,0,193,0.022913839737936568,9.4
61,10000003,88,121,73.8,resident,0,1,12,5.480778196466851e-10,17.400000000000002
62,10000003,88,121,73.8,worker,1,0,167,0.00013660679172426552,16.8
63,10000003,88,121,73.8,worker,1,1,157,0.1918765976007179,14.5
64,10000003,88,121,73.8,worker,1,0,105,6.76977860168757e-5,14.4
65,10000003,88,121,73.8,worker,3,2,109,0.11471061184710535,11.9
66,10000003,88,121,73.8,worker,2,0,128,0.19525286580429285,9.9
67,10000003,88,121,73.8,resident,0,1,47,1.944058711629802e-5,17.900000000000002
68,10000003,88,121,73.8,resident,0,1,19,3.443603229559963e-7,11.4
69,10000003,88,121,73.8,resident,0,12,75,0.08498868080875197,15.100000000000001
70,10000003,88,121,73.8,worker,1,0,178,0.006227570880137062,13.0
71,10000003,88,121,73.8,resident,0,1,74,1.4560047075016352e-7,13.4
72,10000003,88,121,73.8,resident,1,20,87,0.403092154611456,13.9
73,10000003,88,121,73.8,resident,1,1,83,0.007680420158660788,10.3
74,10000003,88,121,73.8,resident,1,35,78,0.39117629688197486,14.9
75,10000003,88,121,73.8,resident,0,1,62,0.045528945741098975,12.3
76,10000003,88,121,73.8,worker,1,0,116,1.987156722819772e-5,8.4
77,10000003,88,121,73.8,worker,7,1,186,0.3455797405480682,12.0
78,10000003,88,121,73.8,worker,1,1,140,0.017016874834358743,13.3
79,10000003,88,121,73.8,resident,3,24,27,0.5067301801074195,10.8
80,10000003,88,121,73.8,resident,1,11,32,0.07806892551145515,24.8
81,10000003,88,121,73.8,worker,6,4,89,0.6498621379812946,12.0
82,10000003,88,121,73.8,worker,9,1,109,0.5878361022304048,9.5
83,10000003,88,121,73.8,worker,1,0,133,7.435047695386302e-6,18.0
84,10000003,88,121,73.8,worker,1,0,164,3.200771939166981e-6,8.700000000000001
85,10000003,88,121,73.8,worker,15,6,123,0.8572911157796261,14.200000000000001
86,10000003,88,121,73.8,worker,1,0,178,1.422006165259979e-13,21.3
87,10000003,88,121,73.8,worker,6,1,140,0.30886513485343314,12.9
88,10000003,88,121,73.8,worker,1,0,171,0.0020886001889593078,13.200000000000001
89,10000003,88,121,73.8,worker,1,0,186,0.0044529534730662025,17.5
90,10000003,88,121,73.8,resident,2,28,23,0.30827441136203537,11.100000000000001
91,10000003,88,121,73.8,worker,1,0,138,0.009078112588777814,15.200000000000001
92,10000003,88,121,73.8,worker,5,2,156,0.5497848913613059,16.900000000000002
93,10000003,88,121,73.8,resident,0,1,41,2.0475891687459135e-6,13.5
94,10000003,88,121,73.8,worker,23,5,112,1.7248965758284078,13.600000000000001
95,10000003,88,121,73.8,worker,5,1,181,1.4659573646664468,12.3
96,10000003,88,121,73.8,worker,1,0,200,0.07785100771392574,17.1
97,10000003,88,121,73.8,worker,1,0,198,1.785696383309804e-14,13.9
98,10000003,88,121,73.8,resident,0,1,15,0.0006268331076926379,9.4
99,10000003,88,121,73.8,resident,1,4,34,0.03478283974551375,22.6
100,10000003,88,121,73.8,worker,1,0,109,0.0036595334267027235,12.0
101,10000003,88,121,73.8,worker,9,4,125,1.9568243792105409,11.200000000000001
102,10000003,88,121,73.8,worker,1,0,123,1.301153562996874e-5,12.100000000000001
103,10000003,88,121,73.8,resident,0,1,69,0.00047402475207407855,12.100000000000001
104,10000003,88,121,73.8,worker,1,0,126,9.948289432578469e-16,13.100000000000001
105,10000003,88,121,73.8,worker,4,3,136,0.6132652326215288,15.100000000000001
106,10000003,88,121,73.8,resident,0,5,45,0.03842818034546055,10.4
107,10000003,88,121,73.8,worker,1,0,93,0.012540002236275785,11.100000000000001
108,10000003,88,121,73.8,worker,1,1,187,0.10912323081779915,12.100000000000001
109,10000003,88,121,73.8,worker,1,0,124,0.002805843830702607,8.9
110,10000003,88,121,73.8,worker,13,0,127,0.836265843106045,11.700000000000001
111,10000003,88,121,73.8,worker,2,0,139,0.059569134379002554,10.4
112,10000003,88,121,73.8,worker,2,0,109,0.01630710133409654,12.4
113,10000003,88,121,73.8,worker,1,0,147,8.789735197328402e-7,10.100000000000001
114,10000003,88,121,73.8,worker,1,0,165,2.435088434016672e-12,10.700000000000001
115,10000003,88,121,73.8,worker,5,1,144,0.5290092695215936,11.4
116,10000003,88,121,73.8,worker,1,0,163,5.700867715016771e-5,13.0
117,10000003,88,121,73.8,worker,1,0,185,5.552765722470643e-5,11.100000000000001
118,10000003,88,121,73.8,worker,1,0,102,0.000667471181209485,11.4
119,10000003,88,121,73.8,worker,1,0,167,1.966711588460589e-6,10.4
120,10000003,88,121,73.8,worker,1,0,124,0.00017569388307052338,8.200000000000001
121,10000003,88,121,73.8,worker,2,1,111,0.3351300089111923,9.700000000000001
122,10000003,88,121,73.8,worker,1,0,166,0.0046132283142550886,10.600000000000001
123,10000003,88,121,73.8,resident,2,4,51,0.10943212641283523,9.700000000000001
124,10000003,88,121,73.8,resident,0,2,86,0.033116524140905164,9.4
125,10000003,88,121,73.8,resident,0,1,30,0.00015848845218148364,16.7
126,10000003,88,121,73.8,resident,0,2,70,0.01071983764416458,13.8
127,10000003,88,121,73.8,worker,1,0,162,9.70208576372533e-5,25.700000000000003
128,10000003,88,121,73.8,worker,1,0,129,0.0026320032392330816,9.8
129,10000003,88,121,73.8,worker,1,0,174,0.12853293560005277,10.9
130,10000003,88,121,73.8,worker,1,0,101,1.1902215194960047e-5,11.700000000000001
131,10000003,88,121,73.8,resident,0,1,68,0.013615165190306153,11.5
132,10000003,88,121,73.8,resident,1,15,44,0.16024018694553857,10.0
133,10000003,88,121,73.8,worker,1,0,169,0.0010421928932403653,9.0
134,10000003,88,121,73.8,worker,2,0,140,0.004313638204173469,10.100000000000001
135,10000003,88,121,73.8,resident,0,5,10,0.018488573695073347,15.100000000000001
136,10000003,88,121,73.8,worker,1,0,126,7.87767261069742e-8,18.0
137,10000003,88,121,73.8,worker,1,0,171,1.0479546265653304e-6,9.200000000000001
138,10000003,88,121,73.8,worker,1,1,117,0.1570003880178422,12.4
139,10000003,88,121,73.8,worker,7,2,148,0.7840901709629722,10.9
140,10000003,88,121,73.8,resident,0,1,17,0.000257556448775623,14.200000000000001
141,10000003,88,121,73.8,worker,1,0,195,0.0002871528410848628,11.5
142,10000003,88,121,73.8,worker,2,1,152,0.18207515459270293,16.1
143,10000003,88,121,73.8,resident,5,59,83,2.092863946018309,9.9
144,10000003,88,121,73.8,worker,1,0,115,1.9621201879439813e-6,17.6
145,10000003,88,121,73.8,worker,1,0,124,2.5995105066279937e-5,11.600000000000001
146,10000003,88,121,73.8,worker,1,0,139,0.12795929391468042,14.100000000000001
147,10000003,88,121,73.8,resident,0,2,20,0.015265004655660665,7.7
148,10000003,88,121,73.8,worker,1,0,181,4.617295448915063e-7,9.700000000000001
149,10000003,88,121,73.8,resident,0,1,9,0.007873030244605665,15.4
150,10000003,88,121,73.8,resident,8,54,83,1.3405119826484,23.1
151,10000003,88,121,73.8,worker,1,0,168,3.8283538081035695e-11,8.3
152,10000003,88,121,73.8,worker,7,2,146,1.35265795854645,15.9
153,10000003,88,121,73.8,resident,0,1,13,6.294764556342595e-9,17.6
154,10000003,88,121,73.8,worker,1,0,114,0.0019246483494377597,17.5
155,10000003,88,121,73.8,worker,10,2,135,0.9314563100912029,9.600000000000001
156,10000003,88,121,73.8,resident,0,5,30,0.055229450747372025,9.200000000000001
157,10000003,88,121,73.8,resident,0,3,1,0.038508989984252784,11.0
158,10000003,88,121,73.8,worker,1,0,173,0.0545702126149831,15.9
159,10000003,88,121,73.8,worker,34,14,127,4.384589291776201,18.1
160,10000003,88,121,73.8,worker,1,0,168,0.002726188289517814,15.200000000000001
161,10000003,88,121,73.8,worker,14,4,137,1.2364721042661388,10.4
162,10000003,88,121,73.8,worker,1,0,118,0.00128471127319228,10.9
163,10000003,88,121,73.8,worker,1,0,153,0.0436379034533109,10.5
164,10000003,88,121,73.8,worker,1,0,128,6.337531636638032e-6,10.4
165,10000003,88,121,73.8,worker,3,1,117,0.1362926760326434,13.700000000000001
